M,N,K,wave_tflops,triton_tflops,torch_tflops
128,1280,2048,7.9892,19.5979,33.2466
256,256,256,0.6579,1.0139,1.659
512,512,512,4.5498,7.9534,14.6661
512,1024,4096,33.5544,75.0058,175.2736
512,4096,4096,133.1773,240.5052,280.737
512,4096,14336,143.5073,266.6467,424.0997
512,14336,4096,445.404,363.3363,428.9623
1024,1024,1024,34.087,48.612,115.0522
1024,1280,1280,57.8525,57.9761,164.9176
1024,1280,5120,70.2711,64.0239,254.7493
1024,10240,1280,221.8475,350.9513,354.1191
1280,512,8192,53.9569,35.5488,242.651
1280,1024,8192,119.9712,71.8207,298.366
1280,2048,8192,211.5747,142.567,358.0482
1280,3072,8192,314.2659,213.3326,429.7412
1280,4096,8192,416.9871,284.1736,397.9745
1280,5120,8192,518.7159,332.7261,530.7955
1280,6144,8192,613.5668,378.3382,482.5334
1280,7168,8192,683.2903,415.6578,554.9401
1280,8192,8192,446.2304,460.5832,570.8774
1280,9216,8192,502.0092,494.2149,491.7938
1280,10240,8192,554.9053,538.8219,581.6206
1280,11264,8192,608.8227,560.8214,442.4472
1280,12288,8192,630.0686,584.7026,560.7898
1280,13312,8192,661.5471,536.4701,441.5525
1280,14336,8192,687.981,602.1621,455.2396
1280,15360,8192,720.6321,593.311,372.287
1280,16384,8192,553.2969,395.6283,524.3289
1920,512,5120,53.5443,48.5715,237.2806
1920,1024,5120,115.7049,96.7801,340.5497
1920,2048,5120,224.9459,194.4078,336.2861
1920,3072,5120,339.3145,274.4202,444.2303
1920,4096,5120,452.4193,342.8038,314.6968
1920,5120,5120,532.61,387.5195,432.0219
1920,6144,5120,397.3551,454.9594,484.8248
1920,7168,5120,469.762,489.2792,534.0574
1920,8192,5120,536.8709,552.8113,559.7913
1920,9216,5120,555.8096,571.5591,369.175
1920,10240,5120,606.4054,375.659,518.7814
1920,11264,5120,515.0215,396.1828,456.3028
1920,12288,5120,589.2486,421.7431,382.3575
1920,13312,5120,626.1353,462.4612,522.7684
1920,14336,5120,599.6962,497.6949,506.5167
1920,15360,5120,620.1024,508.3141,426.2506
1920,16384,5120,544.1259,522.2552,515.9917
2048,1280,1280,98.6895,97.5105,258.4038
2048,1280,5120,151.6584,127.3504,309.9696
2048,2048,1024,117.6703,154.0973,269.3161
2048,2048,2048,184.7298,172.3392,354.1306
2048,2048,8192,335.217,227.2913,446.4816
2048,2048,65536,173.4245,159.3369,336.644
2048,8192,1024,321.1191,423.732,492.2851
2048,8192,8192,710.2788,620.8464,591.9226
2048,8192,65536,421.2688,532.6375,584.8902
2048,10240,1280,341.956,322.0653,404.257
2560,512,8192,106.3111,71.2889,310.9262
2560,1024,8192,212.6221,142.7791,427.6653
